valg,fylke,partikode,partinavn,kandidatnr,navn,bosted,stilling,fødselsår,kjønn
Fylkestingsvalget 2019;Rogaland;H;Høyre;35;Sverre Underbakke;Suldal;"";1958;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;36;Berit Hopland;Finnøy;"";1946;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;37;Marius Solberg;Bjerkreim;"";1981;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;38;Hilde Karlsen;Stavanger;"";1967;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;39;Andreas Vollsund;Time;"";1986;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;40;Kari Raustein;Stavanger;"";1965;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;41;Kirsten Lode;Sola;"";1956;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;42;Sander Ommundsen Olsen;Sandnes;"";2000;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;43;Sigurd Vik;Stavanger;"";1960;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;44;Thor Magne Seland;Sandnes;"";1967;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;45;Sissel Knutsen Hegdal;Stavanger;"";1965;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;46;Bjørn Reidar Schaal;Gjesdal;"";1994;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;47;Hard Olav Bastiansen;Stavanger;"";1955;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;48;Sara Hønsi;Stavanger;"";2001;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;49;Kristoffer Bjordal;Sandnes;"";2000;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;50;Else Karin Bjørheim;Stavanger;"";1998;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;51;Nina Ørnes;Stavanger;"";1996;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;52;Henrik Bruvik;Stavanger;"";2000;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;53;Per Olav Hanssen;Stavanger;"";1940;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;1;Solveig Ege Tengesdal;Eigersund;Fylkesordfører;1963;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;2;Jonas Andersen Sayed;Sokndal;Student;1997;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;3;Geir S. Toskedal;Karmøy;Rådg./St.tingsrepr.;1954;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;4;Bjørg Tysdal Moe;Stavanger;Varaordfører;1954;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;5;Reid Ivar Bjorland Dahl;Hå;Spesialrådgiver;1988;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;6;Svanhild Løge Skålheim;Suldal;Kreftsykepleier;1972;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;7;Håkon Faarlund Hetland;Gjesdal;Konsulent;1990;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;8;Mirjam Ydstebø;Kvitsøy;Ordfører;1976;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;9;Oddny Helen Turøy;Sandnes;Adjunkt;1974;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;10;Unni Sirevåg Lende;Time;Barnehagestyrer;1957;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;11;Olav Eggebø Aanonsen;Sandnes;Fylkessekretær;1969;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;12;Therese Landås;Haugesund;Daglig leder RK;1985;Kvinne
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;13;Henrik Halleland;Finnøy;Ordfører/bonde;1967;Mann
Fylkestingsvalget 2019;Rogaland;KRF;Kristelig Folkeparti;14;Kjersti Olimb Salte;Klepp;Menighetspedagog;1960;Kvinne
